road_address,building_name,unit_est
강원특별자치도 정선군 남면 자뭇골길 293,에메랄드풀빌라,
"강원특별자치도 정선군 남면 자뭇골길 301-4, 1~6동 1층",하얀돔펜션,6.0
강원특별자치도 정선군 북평면 북평7길 38-26,마을호텔 쉐가,1.0
강원특별자치도 정선군 북평면 오대천로 570-19,가리왕산 정원캠핑장,8.0
"강원특별자치도 정선군 북평면 졸드루길 36, 1, 3층",아라리모텔펜션,4.0
강원특별자치도 정선군 북평면 졸드루길 43,정선 둥지펜션,6.0
"강원특별자치도 정선군 사북읍 사북1길 25, 2~3층",파크펜션,10.0
강원특별자치도 정선군 신동읍 곰봉길 125,은석힐링마을,11.0
강원특별자치도 정선군 신동읍 용수길 68,예미MTB마을호스텔,10.0
강원특별자치도 정선군 여량면 노추산로 745,개미펜션,3.0
"강원특별자치도 정선군 여량면 노추산로 751, 2, 3층",노추산길목식당펜션,6.0
강원특별자치도 정선군 임계면 눈꽃마을길 178-37,백두대간약초나라,6.0
강원특별자치도 정선군 임계면 부수배리길 1,숲속의아침,5.0
강원특별자치도 정선군 정선읍 봉양5길 38,정선 황토 약초 게스트하우스,5.0
강원특별자치도 정선군 정선읍 청량길 5,가리왕산펜션,9.0
강원특별자치도 철원군 갈말읍 태봉로 1694,승일펜션,8.0
강원특별자치도 철원군 동송읍 담터길 27,담터펜션,19.0
"강원특별자치도 철원군 동송읍 태봉대교길 139-37, 아르고팬션",아르고통나무펜션,7.0
"강원특별자치도 철원군 철원읍 금학로 691, 제1, 제2동",코리아피스컴,13.0
강원특별자치도 춘천시 금강로 1 (소양로3가),도도스테이,8.0
"강원특별자치도 춘천시 금강로23번길 7, 3층 (소양로3가)",운산,3.0
"강원특별자치도 춘천시 남면 바깥말길 151, 147",플록스펜션,6.0
강원특별자치도 춘천시 남면 소주고개로 17-60,서린춘천,6.0
강원특별자치도 춘천시 남면 소주고개로 181-36,춘천스테이더힐풀빌라펜션,12.0
"강원특별자치도 춘천시 남면 소주고개로 181-52, 주1동~주11동",노블풀빌라,10.0
강원특별자치도 춘천시 남면 소주고개로 236-17,인터스텔라인,13.0
"강원특별자치도 춘천시 남면 소주고개로 238-14, 인터스텔라 4공구 생활형숙박시설",페일블루닷,8.0
강원특별자치도 춘천시 남면 한덕발산길 61,꽃길만걷개,7.0
"강원특별자치도 춘천시 남면 한덕발산길 91-15, 빌라반우",빌라반우,3.0
강원특별자치도 춘천시 남산면 강촌구곡길 221,리얼다이어트캠프안피트니스컴퍼니,18.0
강원특별자치도 춘천시 남산면 강촌로 104,씨앤텔,15.0
